id      ,Building Name                   ,Year of Completion ,Total Floors ,Swimming Pools ,Total Parking Spaces ,Total Building Area ,Elevators ,Retail Centres
8088967 ,ESCAN MARINA TOWER              ,2016               ,31           ,NA             ,NA                   ,"278,342 sqft"      ,NA        ,2
8392950 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8160665 ,TRIDENT GRAND RESIDENCE         ,2010               ,40           ,NA             ,NA                   ,"530,884 sqft"      ,NA        ,22
8229586 ,Studio One                      ,2019               ,32           ,1              ,424                  ,"264,403 sqft"      ,6         ,5
8278673 ,OPAL TOWER                      ,2009               ,30           ,NA             ,NA                   ,"261,612 sqft"      ,NA        ,NA
8361588 ,Sulafa Tower                    ,2010               ,67           ,NA             ,NA                   ,"846,914 sqft"      ,NA        ,1
7559113 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
8377107 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8296510 ,SHEMARA W2                      ,2009               ,32           ,NA             ,985                  ,"207,736 sqft"      ,3         ,NA
8305653 ,ROYAL OCEANIC-1                 ,2009               ,32           ,NA             ,NA                   ,"370,459 sqft"      ,NA        ,7
7870784 ,Cavalli Casa Tower              ,NA                 ,72           ,1              ,640                  ,"1,908,955 sqft"    ,19        ,3
8344342 ,Sparkle Tower 1                 ,2019               ,29           ,2              ,231                  ,"268,322 sqft"      ,5         ,NA
8346772 ,Sparkle Tower 2                 ,2019               ,14           ,2              ,126                  ,"107,473 sqft"      ,3         ,NA
8344506 ,Sparkle Tower 2                 ,2019               ,14           ,2              ,126                  ,"107,473 sqft"      ,3         ,NA
8086329 ,OCEAN HEIGHTS                   ,2010               ,75           ,NA             ,NA                   ,"810,161 sqft"      ,NA        ,1
8203163 ,ESCAN MARINA TOWER              ,2016               ,31           ,NA             ,NA                   ,"278,342 sqft"      ,NA        ,2
8102975 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8338094 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8339448 ,MARINA SHORES                   ,NA                 ,11           ,1              ,551                  ,"1,133,555 sqft"    ,12        ,7
7979595 ,OPAL TOWER                      ,2009               ,30           ,NA             ,NA                   ,"261,612 sqft"      ,NA        ,NA
8251862 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
7850580 ,Ciel                            ,NA                 ,1            ,1              ,326                  ,"1,363,152 sqft"    ,19        ,8
8316451 ,ROYAL OCEANIC-1                 ,2009               ,32           ,NA             ,NA                   ,"370,459 sqft"      ,NA        ,7
7690899 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
8166319 ,Jumeirah Living Marina Gate     ,2020               ,61           ,2              ,729                  ,"1,403,677 sqft"    ,12        ,16
8320172 ,MARINA SHORES                   ,NA                 ,11           ,1              ,551                  ,"1,133,555 sqft"    ,12        ,7
8288264 ,ZUMURUD                         ,2010               ,30           ,NA             ,NA                   ,"279,413 sqft"      ,NA        ,3
7940256 ,Cavalli Casa Tower              ,NA                 ,72           ,1              ,640                  ,"1,908,955 sqft"    ,19        ,3
8105788 ,LA RIVIERA TOWER                ,2008               ,34           ,NA             ,NA                   ,"269,282 sqft"      ,NA        ,3
8498357 ,Beauport X1                     ,2009               ,25           ,NA             ,985                  ,"138,520 sqft"      ,3         ,NA
8508256 ,MARINA DIAMOND 4                ,2008               ,20           ,NA             ,NA                   ,"177,922 sqft"      ,NA        ,4
8509465 ,OPAL TOWER                      ,2009               ,30           ,NA             ,NA                   ,"261,612 sqft"      ,NA        ,NA
8498876 ,PRINCESS TOWER                  ,2012               ,89           ,NA             ,NA                   ,"1,097,409 sqft"    ,NA        ,8
8497546 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8474781 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8495308 ,MARINA DIAMOND-2                ,2008               ,16           ,NA             ,NA                   ,"179,373 sqft"      ,NA        ,5
8475015 ,PANORAMIC                       ,2009               ,9            ,NA             ,NA                   ,"73,580 sqft"       ,NA        ,4
8462600 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
8466880 ,MARINA DIAMOND - A              ,2008               ,15           ,NA             ,NA                   ,"124,220 sqft"      ,NA        ,5
8463147 ,SAHAB-2                         ,2007               ,73           ,NA             ,NA                   ,"330,196 sqft"      ,NA        ,NA
8464054 ,Horizon Tower                   ,2008               ,42           ,NA             ,NA                   ,"411,917 sqft"      ,NA        ,1
8403460 ,Dubai Marina Mall Hotel         ,2009               ,31           ,NA             ,NA                   ,"1,565,456 sqft"    ,NA        ,12
8421473 ,THE WAVES B                     ,2008               ,12           ,NA             ,NA                   ,"159,627 sqft"      ,NA        ,10
8428787 ,BAY CENTRAL 2                   ,2012               ,38           ,NA             ,NA                   ,"277,517 sqft"      ,NA        ,NA
8407213 ,Dubai Marina Mall Hotel         ,2009               ,31           ,NA             ,NA                   ,"1,565,456 sqft"    ,NA        ,12
8393643 ,MARINA DIAMOND - A              ,2008               ,15           ,NA             ,NA                   ,"124,220 sqft"      ,NA        ,5
8394665 ,EMIRATES CROWN TOWER            ,2009               ,62           ,NA             ,NA                   ,"1,326,014 sqft"    ,NA        ,6
8400231 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8393053 ,THE WAVES A                     ,2008               ,22           ,NA             ,NA                   ,"216,005 sqft"      ,NA        ,NA
8433157 ,No.9                            ,2017               ,36           ,2              ,269                  ,"255,330 sqft"      ,7         ,7
8361014 ,Sulafa Tower                    ,2010               ,67           ,NA             ,NA                   ,"846,914 sqft"      ,NA        ,1
8382216 ,23 MARINA                       ,2012               ,62           ,NA             ,NA                   ,"886,537 sqft"      ,NA        ,NA
8344509 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
8348095 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8461603 ,52|42 Tower 2                   ,2020               ,38           ,NA             ,245                  ,"1,465,941 sqft"    ,5         ,NA
8335231 ,MAG218                          ,2010               ,57           ,NA             ,NA                   ,"689,176 sqft"      ,NA        ,7
