id,Building Name,Year of Completion,Total Floors,Swimming Pools,Total Parking Spaces,Total Building Area,Elevators,Retail Centres
8264433,Jumeirah Living Marina Gate,2020,61,2,729,"1,403,677 sqft",12,16
8306764,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8259787,Torch Tower,2011,76,NA,NA,"852,218 sqft",NA,6
8395406,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
8376240,Studio One,2019,32,1,424,"264,403 sqft",6,5
8263028,Marina Quay North,2010,10,NA,NA,"204,945 sqft",NA,NA
8219615,WEST AVENUE,2014,35,NA,NA,"267,598 sqft",NA,5
7404696,MAG218,2010,57,NA,NA,"689,176 sqft",NA,7
8238629,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8315067,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8206986,MARINA VIEW TOWER A,2009,26,NA,NA,"247,478 sqft",NA,11
8181822,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8158104,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8235960,Al Majara 2,2007,33,NA,NA,"283,672 sqft",NA,2
8259650,52|42 Tower 1,2020,52,1,379,"1,465,941 sqft",6,NA
8162635,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
8140381,ALMASS,2008,29,NA,NA,"706,961 sqft",NA,3
8104347,DEC TOWERS T2,2009,28,NA,NA,"290,902 sqft",NA,8
8118650,Paloma x3,2009,40,NA,985,"275,870 sqft",3,NA
8096062,THE RESIDENCES AT MARINA GATE 1,2018,47,1,640,"610,210 sqft",10,16
8065704,THE RESIDENCE AT MARINA GATE 2,2019,61,1,770,"703,394 sqft",11,15
8037920,23 MARINA,2012,62,NA,NA,"886,537 sqft",NA,NA
8036209,MAG218,2010,57,NA,NA,"689,176 sqft",NA,7
8001052,Sulafa Tower,2010,67,NA,NA,"846,914 sqft",NA,1
8045281,Marina Pinnacle,2011,66,NA,NA,"849,284 sqft",NA,7
8040172,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8125601,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
7996411,Marina Pinnacle,2011,66,NA,NA,"849,284 sqft",NA,7
7946606,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8496976,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
7973377,Studio One,2019,32,1,424,"264,403 sqft",6,5
7935961,Dubai Marina Mall Hotel,2009,31,NA,NA,"1,565,456 sqft",NA,12
7970880,SAHAB-1,2007,24,NA,NA,"147,836 sqft",NA,1
8506835,MARINA 101,NA,61,NA,NA,"1,379,605 sqft",NA,NA
8493288,LIV RESIDENCE,2020,28,1,205,"427,447 sqft",4,8
8315445,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
7909943,OPAL TOWER,2009,30,NA,NA,"261,612 sqft",NA,NA
7901301,TFG MARINA,2015,33,NA,NA,"241,220 sqft",NA,4
7790021,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8468886,DM MESK,2008,38,NA,NA,"498,918 sqft",NA,4
7998478,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
7812040,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8446665,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
7690899,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
8493291,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8431500,MANCHESTER TOWER,2008,33,NA,NA,"439,936 sqft",NA,3
7366646,DEC TOWERS T2,2009,28,NA,NA,"290,902 sqft",NA,8
8183117,SAHAB-2,2007,73,NA,NA,"330,196 sqft",NA,NA
8320346,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8087260,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8251505,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
6087558,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
7917968,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
5430551,Al Majara 1,2007,29,NA,NA,"254,302 sqft",NA,1
8561471,MARINA DIAMOND-2,2008,16,NA,NA,"179,373 sqft",NA,5
8566078,MARINA DIAMOND-2,2008,16,NA,NA,"179,373 sqft",NA,5
8547940,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8543381,BAY CENTRAL 2,2012,38,NA,NA,"277,517 sqft",NA,NA
8528012,THE RESIDENCES AT MARINA GATE 1,2018,47,1,640,"610,210 sqft",10,16
7682148,LIV RESIDENCE,2020,28,1,205,"427,447 sqft",4,8
8530805,MANCHESTER TOWER,2008,33,NA,NA,"439,936 sqft",NA,3
8384842,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8339448,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8341726,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8286191,TRIDENT GRAND RESIDENCE,2010,40,NA,NA,"530,884 sqft",NA,22
8320172,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8401233,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8261833,NA,NA,NA,NA,NA,NA,NA,NA
8281987,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
8414147,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8374918,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8545966,MARINA ARCADE,2017,49,1,367,"858,187 sqft",8,1
8545967,AL Murjan,2008,38,NA,NA,"920,347 sqft",NA,4
8545881,23 MARINA,2012,62,NA,NA,"886,537 sqft",NA,NA
8006723,NA,NA,NA,NA,NA,NA,NA,NA
7918677,THE RESIDENCE AT MARINA GATE 2,2019,61,1,770,"703,394 sqft",11,15
8491137,Jumeirah Living Marina Gate,2020,61,2,729,"1,403,677 sqft",12,16
8354797,MARINA TERRACE,2008,36,NA,NA,"305,965 sqft",NA,14
7765017,CONTINENTAL TOWER,2015,31,1,276,"286,305 sqft",5,10
7894380,ROYAL OCEANIC-1,2009,32,NA,NA,"370,459 sqft",NA,7
7940256,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
7860999,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
7850580,Ciel,NA,1,1,326,"1,363,152 sqft",19,8
7677907,NA,NA,NA,NA,NA,NA,NA,NA
