id,Developer,Ownership,Built-up Area,Usage,Balcony Size,Total Building Area,Parking Availability
7682012,MARINA LIV DEVELOPMENT (Br of MARINA 2 GROUP LIMITED ) - DUBAI BRANCH,NA,NA,NA,NA,NA,NA
7681741,L I V REAL ESTATE DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
7673283,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
7682010,MARINA LIV DEVELOPMENT (Br of MARINA 2 GROUP LIMITED ) - DUBAI BRANCH,NA,NA,NA,NA,NA,NA
7640069,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8215084,NA,NA,NA,NA,NA,"858,187 sqft",NA
7813188,NA,NA,NA,NA,NA,"159,627 sqft",NA
6814106,NA,NA,NA,NA,NA,"211,465 sqft",NA
6660102,NA,NA,NA,NA,NA,"1,403,598 sqft",NA
7584599,T F G REAL ESTATE L.L.C,NA,NA,NA,NA,"1,363,152 sqft",NA
8321466,NA,NA,NA,NA,NA,"925,527 sqft",NA
5983681,NA,NA,NA,NA,NA,"498,918 sqft",NA
8534006,NA,NA,NA,NA,NA,"1,565,456 sqft",NA
8287412,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,655 sqft",Other,134 sqft,"1,403,598 sqft",Yes
8534191,EMAAR PROPERTIES (P.J.S.C),Freehold,545 sqft,Residential,59 sqft,"1,565,456 sqft",NA
8533863,EMAAR PROPERTIES (P.J.S.C),Freehold,848 sqft,Residential,NA,"1,565,456 sqft",NA
8531209,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,331 sqft",Residential,37 sqft,"925,527 sqft",Yes
8382216,HIRCON INTERNATIONAL L.L.C,Freehold,"2,146 sqft",Residential,154 sqft,"886,537 sqft",Yes
8560525,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,836 sqft,Residential,48 sqft,"610,210 sqft",Yes
8457981,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,691 sqft,Residential,48 sqft,"610,210 sqft",Yes
8467538,NA,Freehold,"1,392 sqft",Residential,44 sqft,"147,836 sqft",Yes
8585379,NA,Freehold,"1,103 sqft",Residential,139 sqft,"81,708 sqft",Yes
8579206,NA,Freehold,"1,491 sqft",Residential,193 sqft,"290,902 sqft",Yes
8344272,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,735 sqft,Residential,68 sqft,"846,914 sqft",Yes
8579254,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8513567,EMAAR PROPERTIES (P.J.S.C),Freehold,922 sqft,Residential,80 sqft,"366,045 sqft",Yes
8509550,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"1,868 sqft",Other,266 sqft,"940,502 sqft",Yes
8350248,TEBYAN REAL ESTATE DEVELOPMENT ENTERPRISES (LLC),Freehold,406 sqft,Residential,51 sqft,"107,473 sqft",Yes
8396182,TORCH SELECT LIMITED,Freehold,808 sqft,Residential,114 sqft,"852,218 sqft",Yes
8533647,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,"1,149 sqft",Residential,137 sqft,"277,517 sqft",Yes
8264868,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
6519509,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,302 sqft",Residential,58 sqft,"435,062 sqft",Yes
